"Activity 
2_DC Rollover IRA *4915 
as of 02/04/2026 at 11:21:41 AM"

Date,Description,Symbol,Quantity,Price,Amount,Cash Balance,Commission,Fees,Account,Settlement Date,Type
May-15-2025,YOU BOUGHT,CTVA,100,68.41,"-6,841.00","+205,229.39",--,--,2_DC Rollover IRA *4915,May-16-2025,Cash
May-15-2025,YOU BOUGHT,AVGO,100,233.28,"-23,328.00","+212,070.39",--,--,2_DC Rollover IRA *4915,May-16-2025,Cash
May-15-2025,YOU SOLD,AMZN,-20,204.97,"4,099.40","+235,398.39",--,--,2_DC Rollover IRA *4915,May-16-2025,Cash
May-15-2025,YOU BOUGHT,SPOT,12,641.21,"-7,694.52","+231,298.99",--,--,2_DC Rollover IRA *4915,May-16-2025,Cash
May-14-2025,YOU SOLD,KGC,-300,13.35,"4,003.62","+238,993.51",--,--,2_DC Rollover IRA *4915,May-15-2025,Cash
May-13-2025,YOU BOUGHT,GRND,200,23.94,"-4,787.70","+234,989.89",--,--,2_DC Rollover IRA *4915,May-14-2025,Cash
May-12-2025,YOU BOUGHT,UBER,100,85.80,"-8,580.00","+239,777.59",--,--,2_DC Rollover IRA *4915,May-13-2025,Cash
May-12-2025,YOU SOLD,SPOT,-8,622.23,"4,977.70","+248,357.59",--,0.14,2_DC Rollover IRA *4915,May-13-2025,Cash
May-9-2025,YOU BOUGHT,GRND,225,23.01,"-5,177.14","+243,379.89",--,--,2_DC Rollover IRA *4915,May-12-2025,Cash
May-7-2025,YOU BOUGHT,SPOT,20,653.57,"-13,071.40","+248,557.03",--,--,2_DC Rollover IRA *4915,May-8-2025,Cash
May-6-2025,YOU SOLD,MCK,-1,708.07,708.05,"+261,628.43",--,0.02,2_DC Rollover IRA *4915,May-7-2025,Cash
May-6-2025,YOU SOLD,HIMS,-25,49.84,"1,245.84","+260,920.38",--,0.04,2_DC Rollover IRA *4915,May-7-2025,Cash
May-6-2025,YOU SOLD,HIMS,-250,44.93,"11,232.58","+259,674.54",--,0.32,2_DC Rollover IRA *4915,May-7-2025,Cash
May-6-2025,YOU SOLD,CAVA,-100,91.79,"9,179.04","+248,441.96",--,0.26,2_DC Rollover IRA *4915,May-7-2025,Cash
May-6-2025,YOU BOUGHT,OKLO,500,27.62,"-13,811.65","+239,262.92",--,--,2_DC Rollover IRA *4915,May-7-2025,Cash
May-6-2025,YOU SOLD,OKLO,-500,28.56,"14,279.60","+253,074.57",--,0.40,2_DC Rollover IRA *4915,May-7-2025,Cash
May-6-2025,YOU SOLD,GOOGL,-1,163.63,163.63,"+238,794.97",--,--,2_DC Rollover IRA *4915,May-7-2025,Cash
May-6-2025,YOU SOLD,SPOT,-10,627.79,"6,277.72","+238,631.34",--,0.18,2_DC Rollover IRA *4915,May-7-2025,Cash
May-6-2025,YOU SOLD,SPOT,-30,627.97,"18,838.57","+232,353.62",--,0.53,2_DC Rollover IRA *4915,May-7-2025,Cash
May-2-2025,YOU SOLD,HIMS,-125,39.61,"4,951.11","+213,515.05",--,0.14,2_DC Rollover IRA *4915,May-5-2025,Cash
May-2-2025,YOU SOLD,GRND,-125,23.09,"2,885.54","+208,563.94",--,0.09,2_DC Rollover IRA *4915,May-5-2025,Cash
May-2-2025,YOU SOLD,GRND,-150,22.95,"3,441.65","+205,678.40",--,0.10,2_DC Rollover IRA *4915,May-5-2025,Cash
May-2-2025,YOU SOLD,GD,-60,268.34,"16,099.95","+202,236.75",--,0.45,2_DC Rollover IRA *4915,May-5-2025,Cash
May-2-2025,YOU BOUGHT,AMZN,50,188.76,"-9,438.00","+186,136.80",--,--,2_DC Rollover IRA *4915,May-5-2025,Cash
May-2-2025,YOU BOUGHT,SPOT,50,631.05,"-31,552.50","+195,574.80",--,--,2_DC Rollover IRA *4915,May-5-2025,Cash
May-2-2025,YOU SOLD,SPOT,-10,649.65,"6,496.31","+227,127.30",--,0.19,2_DC Rollover IRA *4915,May-5-2025,Cash
May-1-2025,YOU SOLD,KGC,-500,14.11,"7,054.80","+220,630.99",--,0.20,2_DC Rollover IRA *4915,May-2-2025,Cash
May-1-2025,YOU SOLD,META,-1,575.69,575.67,"+213,576.19",--,0.02,2_DC Rollover IRA *4915,May-2-2025,Cash
May-1-2025,YOU SOLD,CAVA,-50,96.43,"4,821.46","+213,000.52",--,0.14,2_DC Rollover IRA *4915,May-2-2025,Cash
Apr-30-2025,REINVESTMENT REINVEST @ $1.000,FDRXX,694.21,1.00,-694.21,"+208,179.06",--,--,2_DC Rollover IRA *4915,--,Cash
Apr-30-2025,DIVIDEND RECEIVED,FDRXX,--,--,694.21,"+208,179.06",--,--,2_DC Rollover IRA *4915,--,Cash
Apr-30-2025,YOU BOUGHT,KGC,500,14.66,"-7,331.75","+207,484.85",--,--,2_DC Rollover IRA *4915,May-1-2025,Cash
Apr-30-2025,YOU BOUGHT,HIMS,400,32.93,"-13,172.00","+214,816.60",--,--,2_DC Rollover IRA *4915,May-1-2025,Cash
Apr-24-2025,YOU BOUGHT,KGC,300,14.43,"-4,328.58","+227,988.60",--,--,2_DC Rollover IRA *4915,Apr-25-2025,Cash
Apr-24-2025,YOU BOUGHT,CAVA,50,89.74,"-4,486.88","+232,317.18",--,--,2_DC Rollover IRA *4915,Apr-25-2025,Cash
Apr-23-2025,YOU BOUGHT,KGC,500,14.11,"-7,053.95","+236,804.06",--,--,2_DC Rollover IRA *4915,Apr-24-2025,Cash
Apr-23-2025,YOU SOLD,KGC,-800,14.08,"11,260.16","+243,858.01",--,0.32,2_DC Rollover IRA *4915,Apr-24-2025,Cash
Apr-23-2025,YOU SOLD,KGC,"-1,000",13.83,"13,829.61","+232,597.85",--,0.39,2_DC Rollover IRA *4915,Apr-24-2025,Cash
Apr-23-2025,YOU BOUGHT,GD,30,268.22,"-8,046.60","+218,768.24",--,--,2_DC Rollover IRA *4915,Apr-24-2025,Cash
Apr-23-2025,YOU BOUGHT,GD,30,274.16,"-8,224.80","+226,814.84",--,--,2_DC Rollover IRA *4915,Apr-24-2025,Cash
Apr-23-2025,YOU BOUGHT,CAVA,94,86.32,"-8,114.08","+235,039.64",--,--,2_DC Rollover IRA *4915,Apr-24-2025,Cash
Apr-23-2025,YOU BOUGHT,CAVA,5,86.20,-431.00,"+243,153.72",--,--,2_DC Rollover IRA *4915,Apr-24-2025,Cash
Apr-23-2025,YOU BOUGHT,CAVA,1,86.25,-86.25,"+243,584.72",--,--,2_DC Rollover IRA *4915,Apr-24-2025,Cash
Apr-21-2025,YOU SOLD,MCK,-1,681.10,681.08,"+243,670.97",--,0.02,2_DC Rollover IRA *4915,Apr-22-2025,Cash
Apr-21-2025,YOU SOLD,MCK,-9,680.48,"6,124.14","+242,989.89",--,0.18,2_DC Rollover IRA *4915,Apr-22-2025,Cash
Apr-21-2025,YOU SOLD,MCK,-14,680.97,"9,533.37","+236,865.75",--,0.27,2_DC Rollover IRA *4915,Apr-22-2025,Cash
Apr-21-2025,YOU SOLD,MCK,-15,681.28,"10,218.91","+227,332.38",--,0.29,2_DC Rollover IRA *4915,Apr-22-2025,Cash
Apr-21-2025,YOU SOLD,IBKR,-5,152.85,764.22,"+217,113.47",--,0.03,2_DC Rollover IRA *4915,Apr-22-2025,Cash
Apr-21-2025,YOU BOUGHT,GRND,500,19.30,"-9,652.20","+216,349.25",--,--,2_DC Rollover IRA *4915,Apr-22-2025,Cash
Apr-16-2025,YOU BOUGHT,KGC,500,14.91,"-7,457.50","+226,001.45",--,--,2_DC Rollover IRA *4915,Apr-17-2025,Cash
Apr-16-2025,YOU BOUGHT,META,40,500.79,"-20,031.60","+233,458.95",--,--,2_DC Rollover IRA *4915,Apr-17-2025,Cash
Apr-16-2025,YOU SOLD,META,-39,499.24,"19,469.81","+253,490.55",--,0.55,2_DC Rollover IRA *4915,Apr-17-2025,Cash
Apr-16-2025,YOU SOLD,AMZN,-14,174.95,"2,449.23","+234,020.74",--,0.07,2_DC Rollover IRA *4915,Apr-17-2025,Cash
Apr-16-2025,YOU SOLD,AMZN,-35,174.94,"6,122.72","+231,571.51",--,0.18,2_DC Rollover IRA *4915,Apr-17-2025,Cash
Apr-16-2025,YOU SOLD 25106G3E24,AMZN,-200,177.99,"35,597.01","+225,448.79",--,0.99,2_DC Rollover IRA *4915,Apr-17-2025,Cash
Apr-16-2025,YOU SOLD,GOOGL,-59,151.87,"8,960.08","+189,851.78",--,0.25,2_DC Rollover IRA *4915,Apr-17-2025,Cash
Apr-16-2025,YOU SOLD,GOOGL,-100,153.47,"15,347.07","+180,891.70",--,0.43,2_DC Rollover IRA *4915,Apr-17-2025,Cash
Apr-11-2025,YOU BOUGHT,AMZN,50,180.15,"-9,007.50","+165,544.63",--,--,2_DC Rollover IRA *4915,Apr-14-2025,Cash
Apr-10-2025,YOU BOUGHT,MCK,20,680.47,"-13,609.40","+174,552.13",--,--,2_DC Rollover IRA *4915,Apr-11-2025,Cash
Apr-10-2025,YOU BOUGHT,KGC,500,13.37,"-6,682.70","+188,161.53",--,--,2_DC Rollover IRA *4915,Apr-11-2025,Cash
Apr-10-2025,YOU SOLD,AMAT,-50,139.75,"6,987.30","+194,844.23",--,0.20,2_DC Rollover IRA *4915,Apr-11-2025,Cash
Apr-10-2025,YOU BOUGHT,AMZN,199,181.80,"-36,178.20","+187,856.93",--,--,2_DC Rollover IRA *4915,Apr-11-2025,Cash
Apr-10-2025,YOU SOLD,AMZN,-99,179.72,"17,791.58","+224,035.13",--,0.50,2_DC Rollover IRA *4915,Apr-11-2025,Cash
Apr-10-2025,YOU BOUGHT,GOOGL,90,152.82,"-13,753.80","+206,243.55",--,--,2_DC Rollover IRA *4915,Apr-11-2025,Cash
Apr-10-2025,YOU BOUGHT,GOOGL,60,152.67,"-9,160.20","+219,997.35",--,--,2_DC Rollover IRA *4915,Apr-11-2025,Cash
Apr-10-2025,YOU SOLD,GOOGL,-70,154.39,"10,806.99","+229,157.55",--,0.31,2_DC Rollover IRA *4915,Apr-11-2025,Cash
Apr-10-2025,YOU SOLD,GOOGL,-190,151.98,"28,875.39","+218,350.56",--,0.81,2_DC Rollover IRA *4915,Apr-11-2025,Cash
Apr-10-2025,YOU SOLD,GOOGL,-530,154.38,"81,819.12","+189,475.17",--,2.28,2_DC Rollover IRA *4915,Apr-11-2025,Cash
Apr-9-2025,YOU BOUGHT,MCK,20,669.90,"-13,398.00","+107,656.05",--,--,2_DC Rollover IRA *4915,Apr-10-2025,Cash
Apr-9-2025,YOU BOUGHT,GOOGL,350,155.63,"-54,470.50","+121,054.05",--,--,2_DC Rollover IRA *4915,Apr-10-2025,Cash
Apr-9-2025,YOU BOUGHT,GOOGL,299,155.69,"-46,550.29","+175,524.55",--,--,2_DC Rollover IRA *4915,Apr-10-2025,Cash
Apr-9-2025,YOU BOUGHT,GOOGL,150,152.96,"-22,944.17","+222,074.84",--,--,2_DC Rollover IRA *4915,Apr-10-2025,Cash
Apr-8-2025,YOU BOUGHT,KGC,499,12.34,"-6,157.66","+245,019.01",--,--,2_DC Rollover IRA *4915,Apr-9-2025,Cash
Apr-8-2025,YOU BOUGHT,AMAT,100,138.42,"-13,842.19","+251,176.67",--,--,2_DC Rollover IRA *4915,Apr-9-2025,Cash
Apr-8-2025,YOU SOLD,AMAT,-50,134.60,"6,729.81","+265,018.86",--,0.19,2_DC Rollover IRA *4915,Apr-9-2025,Cash
Apr-8-2025,YOU BOUGHT,AMZN,100,178.02,"-17,802.29","+258,289.05",--,--,2_DC Rollover IRA *4915,Apr-9-2025,Cash
Apr-8-2025,YOU BOUGHT,AMZN,50,169.79,"-8,489.38","+276,091.34",--,--,2_DC Rollover IRA *4915,Apr-9-2025,Cash
Apr-8-2025,YOU SOLD,AMZN,-50,174.37,"8,718.26","+284,580.72",--,0.25,2_DC Rollover IRA *4915,Apr-9-2025,Cash
Apr-8-2025,YOU BOUGHT,GOOGL,200,149.58,"-29,915.54","+275,862.46",--,--,2_DC Rollover IRA *4915,Apr-9-2025,Cash
Apr-8-2025,YOU SOLD,GOOGL,-199,146.65,"29,182.53","+305,778.00",--,0.82,2_DC Rollover IRA *4915,Apr-9-2025,Cash
Apr-7-2025,YOU SOLD,MS,-20,95.63,"1,912.54","+276,595.47",--,0.06,2_DC Rollover IRA *4915,Apr-8-2025,Cash
Apr-7-2025,YOU SOLD,MCK,-50,661.40,"33,069.01","+274,682.93",--,0.92,2_DC Rollover IRA *4915,Apr-8-2025,Cash
Apr-7-2025,YOU SOLD,MCK,-55,663.20,"36,474.98","+241,613.92",--,1.02,2_DC Rollover IRA *4915,Apr-8-2025,Cash
Apr-7-2025,YOU SOLD,KGC,-99,11.58,"1,145.91","+205,138.94",--,0.04,2_DC Rollover IRA *4915,Apr-8-2025,Cash
Apr-7-2025,YOU SOLD,GS,-10,451.43,"4,514.12","+203,993.03",--,0.13,2_DC Rollover IRA *4915,Apr-8-2025,Cash
Apr-7-2025,YOU SOLD,AMZN,-5,161.56,807.77,"+199,478.91",--,0.03,2_DC Rollover IRA *4915,Apr-8-2025,Cash
Apr-4-2025,YOU BOUGHT,MCK,40,710.20,"-28,408.00","+198,671.14",--,--,2_DC Rollover IRA *4915,Apr-7-2025,Cash
Apr-4-2025,YOU BOUGHT,MCK,11,698.00,"-7,678.00","+227,079.14",--,--,2_DC Rollover IRA *4915,Apr-7-2025,Cash
Apr-4-2025,YOU BOUGHT,MCK,10,696.99,"-6,969.90","+234,757.14",--,--,2_DC Rollover IRA *4915,Apr-7-2025,Cash
Apr-4-2025,YOU BOUGHT,MCK,4,697.40,"-2,789.60","+241,727.04",--,--,2_DC Rollover IRA *4915,Apr-7-2025,Cash
Apr-4-2025,YOU SOLD,KGC,-400,11.68,"4,671.91","+244,516.64",--,0.13,2_DC Rollover IRA *4915,Apr-7-2025,Cash
Apr-4-2025,YOU SOLD,KGC,-400,11.68,"4,672.67","+239,844.73",--,0.13,2_DC Rollover IRA *4915,Apr-7-2025,Cash
Apr-4-2025,YOU SOLD,KGC,-400,11.69,"4,673.87","+235,172.06",--,0.13,2_DC Rollover IRA *4915,Apr-7-2025,Cash
Apr-4-2025,YOU SOLD,KGC,"-1,200",11.68,"14,015.61","+230,498.19",--,0.39,2_DC Rollover IRA *4915,Apr-7-2025,Cash
Apr-3-2025,YOU SOLD,WFC,-75,66.80,"5,009.49","+216,482.58",--,0.14,2_DC Rollover IRA *4915,Apr-4-2025,Cash
Apr-3-2025,YOU BOUGHT,KGC,"1,000",12.69,"-12,690.00","+211,473.09",--,--,2_DC Rollover IRA *4915,Apr-4-2025,Cash
Apr-3-2025,YOU BOUGHT,KGC,500,12.64,"-6,320.00","+224,163.09",--,--,2_DC Rollover IRA *4915,Apr-4-2025,Cash
Apr-3-2025,YOU SOLD,GS,-10,524.91,"5,249.00","+230,483.09",--,0.15,2_DC Rollover IRA *4915,Apr-4-2025,Cash
Apr-3-2025,YOU SOLD,ECC,-400,7.75,"3,097.91","+225,234.09",--,0.09,2_DC Rollover IRA *4915,Apr-4-2025,Cash
Apr-3-2025,YOU SOLD,ECC,"-1,223",7.74,"9,465.75","+222,136.18",--,0.27,2_DC Rollover IRA *4915,Apr-4-2025,Cash
Apr-3-2025,YOU SOLD,ECC,"-3,377",7.75,"26,171.02","+212,670.43",--,0.73,2_DC Rollover IRA *4915,Apr-4-2025,Cash
Apr-2-2025,YOU BOUGHT,MCK,10,689.82,"-6,898.17","+186,499.41",--,--,2_DC Rollover IRA *4915,Apr-3-2025,Cash
Mar-31-2025,REINVESTMENT REINVEST @ $1.000,FDRXX,770.98,1.00,-770.98,"+193,397.58",--,--,2_DC Rollover IRA *4915,--,Cash
Mar-31-2025,DIVIDEND RECEIVED,FDRXX,--,--,770.98,"+193,397.58",--,--,2_DC Rollover IRA *4915,--,Cash
Mar-31-2025,YOU SOLD,SMFG,-500,15.22,"7,609.78","+192,626.60",--,0.22,2_DC Rollover IRA *4915,Apr-1-2025,Cash
Mar-31-2025,YOU BOUGHT,MCK,10,674.08,"-6,740.75","+185,016.82",--,--,2_DC Rollover IRA *4915,Apr-1-2025,Cash
Mar-31-2025,YOU BOUGHT,KGC,"1,000",12.56,"-12,560.00","+191,757.57",--,--,2_DC Rollover IRA *4915,Apr-1-2025,Cash
Mar-31-2025,YOU SOLD,AMD,-50,98.89,"4,944.46","+204,317.57",--,0.14,2_DC Rollover IRA *4915,Apr-1-2025,Cash
Mar-28-2025,DIVIDEND RECEIVED,GS,--,--,45.00,"+199,373.11",--,--,2_DC Rollover IRA *4915,--,Cash
Mar-28-2025,YOU SOLD,NVDA,-300,109.21,"32,762.11","+199,328.11",--,0.92,2_DC Rollover IRA *4915,Mar-31-2025,Cash
Mar-28-2025,YOU SOLD,NVDA,-300,110.33,"33,096.75","+166,566.00",--,0.93,2_DC Rollover IRA *4915,Mar-31-2025,Cash
Mar-28-2025,YOU SOLD,MS,-30,116.18,"3,485.30","+133,469.25",--,0.10,2_DC Rollover IRA *4915,Mar-31-2025,Cash
Mar-28-2025,YOU SOLD,IBKR,-45,162.99,"7,334.34","+129,983.95",--,0.21,2_DC Rollover IRA *4915,Mar-31-2025,Cash
Mar-28-2025,YOU SOLD,AMZN,-95,196.56,"18,672.68","+122,649.61",--,0.52,2_DC Rollover IRA *4915,Mar-31-2025,Cash
Mar-27-2025,YOU BOUGHT,NVDA,50,111.56,"-5,578.00","+103,976.93",--,--,2_DC Rollover IRA *4915,Mar-28-2025,Cash
Mar-27-2025,YOU SOLD,MS,-50,119.37,"5,968.33","+109,554.93",--,0.17,2_DC Rollover IRA *4915,Mar-28-2025,Cash
Mar-26-2025,YOU BOUGHT,NVDA,110,116.85,"-12,853.50","+103,586.60",--,--,2_DC Rollover IRA *4915,Mar-27-2025,Cash
Mar-26-2025,YOU BOUGHT,NVDA,100,112.92,"-11,292.50","+116,440.10",--,--,2_DC Rollover IRA *4915,Mar-27-2025,Cash
Mar-26-2025,YOU BOUGHT,NVDA,100,115.33,"-11,533.44","+127,732.60",--,--,2_DC Rollover IRA *4915,Mar-27-2025,Cash
Mar-26-2025,YOU BOUGHT,NVDA,50,112.92,"-5,646.16","+139,266.04",--,--,2_DC Rollover IRA *4915,Mar-27-2025,Cash
Mar-26-2025,YOU BOUGHT,NVDA,50,113.11,"-5,655.50","+144,912.20",--,--,2_DC Rollover IRA *4915,Mar-27-2025,Cash
Mar-26-2025,YOU BOUGHT,NVDA,50,117.00,"-5,850.00","+150,567.70",--,--,2_DC Rollover IRA *4915,Mar-27-2025,Cash
Mar-26-2025,YOU BOUGHT,NVDA,50,118.08,"-5,904.00","+156,417.70",--,--,2_DC Rollover IRA *4915,Mar-27-2025,Cash
Mar-26-2025,YOU BOUGHT,NVDA,30,115.85,"-3,475.50","+162,321.70",--,--,2_DC Rollover IRA *4915,Mar-27-2025,Cash
Mar-26-2025,YOU SOLD,NVDA,-90,117.57,"10,581.00","+165,797.20",--,0.30,2_DC Rollover IRA *4915,Mar-27-2025,Cash
Mar-26-2025,YOU SOLD,NVDA,-100,117.64,"11,763.17","+155,216.20",--,0.33,2_DC Rollover IRA *4915,Mar-27-2025,Cash
Mar-26-2025,YOU SOLD,IBKR,-50,175.77,"8,788.25","+143,453.03",--,0.25,2_DC Rollover IRA *4915,Mar-27-2025,Cash
Mar-26-2025,YOU BOUGHT,ECC,"5,000",8.05,"-40,249.50","+134,664.78",--,--,2_DC Rollover IRA *4915,Mar-27-2025,Cash
Mar-26-2025,YOU BOUGHT,AMD,50,112.31,"-5,615.50","+174,914.28",--,--,2_DC Rollover IRA *4915,Mar-27-2025,Cash
Mar-26-2025,YOU SOLD,AMD,-200,111.68,"22,335.37","+180,529.78",--,0.63,2_DC Rollover IRA *4915,Mar-27-2025,Cash
Mar-25-2025,YOU SOLD,SMFG,-500,16.12,"8,059.77","+158,194.41",--,0.23,2_DC Rollover IRA *4915,Mar-26-2025,Cash
Mar-25-2025,YOU BOUGHT,NVDA,100,119.75,"-11,975.44","+150,134.64",--,--,2_DC Rollover IRA *4915,Mar-26-2025,Cash
Mar-25-2025,YOU BOUGHT,AMD,100,113.26,"-11,326.00","+162,110.08",--,--,2_DC Rollover IRA *4915,Mar-26-2025,Cash
Mar-24-2025,YOU BOUGHT,WFC,50,73.95,"-3,697.38","+173,436.08",--,--,2_DC Rollover IRA *4915,Mar-25-2025,Cash
Mar-24-2025,YOU BOUGHT,SMFG,500,16.43,"-8,217.51","+177,133.46",--,--,2_DC Rollover IRA *4915,Mar-25-2025,Cash
Mar-24-2025,YOU BOUGHT,NVDA,100,122.06,"-12,205.50","+185,350.97",--,--,2_DC Rollover IRA *4915,Mar-25-2025,Cash
Mar-24-2025,YOU BOUGHT,MS,80,124.06,"-9,925.10","+197,556.47",--,--,2_DC Rollover IRA *4915,Mar-25-2025,Cash
Mar-24-2025,YOU BOUGHT,MCK,20,660.43,"-13,208.60","+207,481.57",--,--,2_DC Rollover IRA *4915,Mar-25-2025,Cash
Mar-24-2025,YOU BOUGHT,IBKR,100,180.04,"-18,004.00","+220,690.17",--,--,2_DC Rollover IRA *4915,Mar-25-2025,Cash
Mar-24-2025,YOU BOUGHT,GS,15,580.56,"-8,708.38","+238,694.17",--,--,2_DC Rollover IRA *4915,Mar-25-2025,Cash
Mar-24-2025,YOU BOUGHT,AMZN,100,202.16,"-20,216.22","+247,402.55",--,--,2_DC Rollover IRA *4915,Mar-25-2025,Cash
Mar-24-2025,YOU BOUGHT,AMD,100,113.86,"-11,386.00","+267,618.77",--,--,2_DC Rollover IRA *4915,Mar-25-2025,Cash
Mar-20-2025,YOU SOLD,VXUS,-400,63.92,"25,567.28","+279,004.77",--,0.72,2_DC Rollover IRA *4915,Mar-21-2025,Cash
Mar-19-2025,YOU BOUGHT,SMFG,500,16.22,"-8,110.00","+253,437.49",--,--,2_DC Rollover IRA *4915,Mar-20-2025,Cash
Mar-17-2025,YOU BOUGHT,VXUS,400,64.41,"-25,762.00","+261,547.49",--,--,2_DC Rollover IRA *4915,Mar-18-2025,Cash
Mar-10-2025,YOU SOLD,WFC,-75,65.74,"4,930.04","+287,309.49",--,0.14,2_DC Rollover IRA *4915,Mar-11-2025,Cash
Mar-10-2025,YOU SOLD,WFC,-100,68.18,"6,817.45","+282,379.45",--,0.19,2_DC Rollover IRA *4915,Mar-11-2025,Cash
Mar-10-2025,YOU SOLD,NFLX,-15,871.25,"13,068.46","+275,562.00",--,0.37,2_DC Rollover IRA *4915,Mar-11-2025,Cash
Mar-10-2025,YOU SOLD,MS,-30,110.02,"3,300.50","+262,493.54",--,0.10,2_DC Rollover IRA *4915,Mar-11-2025,Cash
Mar-10-2025,YOU SOLD,GS,-10,526.05,"5,260.35","+259,193.04",--,0.15,2_DC Rollover IRA *4915,Mar-11-2025,Cash
Mar-4-2025,YOU SOLD,WFC,-200,72.02,"14,402.59","+253,932.69",--,0.41,2_DC Rollover IRA *4915,Mar-5-2025,Cash
Mar-3-2025,YOU BOUGHT,MS,70,133.52,"-9,346.40","+239,530.10",--,--,2_DC Rollover IRA *4915,Mar-4-2025,Cash
Mar-3-2025,YOU SOLD,MS,-50,131.71,"6,585.31","+248,876.50",--,0.19,2_DC Rollover IRA *4915,Mar-4-2025,Cash
Feb-28-2025,REINVESTMENT REINVEST @ $1.000,FDRXX,22.26,1.00,-22.26,"+242,291.19",--,--,2_DC Rollover IRA *4915,--,Cash
Feb-28-2025,DIVIDEND RECEIVED,FDRXX,--,--,22.26,"+242,291.19",--,--,2_DC Rollover IRA *4915,--,Cash
Feb-28-2025,YOU BOUGHT,WFC,300,77.41,"-23,223.00","+242,268.93",--,--,2_DC Rollover IRA *4915,Mar-3-2025,Cash
Feb-28-2025,YOU BOUGHT,WFC,100,77.39,"-7,739.00","+265,491.93",--,--,2_DC Rollover IRA *4915,Mar-3-2025,Cash
Feb-28-2025,YOU SOLD,IWM,-10,211.63,"2,116.29","+273,230.93",--,0.06,2_DC Rollover IRA *4915,Mar-3-2025,Cash
Feb-28-2025,YOU SOLD,FBGRX,-607.844,220.72,"134,163.33","+271,114.64",--,--,2_DC Rollover IRA *4915,Mar-3-2025,Cash
Feb-28-2025,YOU SOLD,FPURX,-534.855,25.06,"13,403.47","+136,951.31",--,--,2_DC Rollover IRA *4915,Mar-3-2025,Cash
Feb-28-2025,YOU SOLD,FDGRX,-744.426,39.10,"29,107.06","+123,547.84",--,--,2_DC Rollover IRA *4915,Mar-3-2025,Cash
Feb-28-2025,YOU SOLD,FFFAX,"-1,662.9",10.83,"18,009.21","+94,440.78",--,--,2_DC Rollover IRA *4915,Mar-3-2025,Cash
Feb-28-2025,YOU SOLD,FFTWX,"-1,199.688",14.11,"16,927.60","+76,431.57",--,--,2_DC Rollover IRA *4915,Mar-3-2025,Cash
Feb-27-2025,YOU SOLD,SPY,-60,591.32,"35,478.43","+59,503.97",--,0.99,2_DC Rollover IRA *4915,Feb-28-2025,Cash
Feb-24-2025,YOU SOLD,TSLA,-4,327.02,"1,308.03","+24,025.54",--,0.04,2_DC Rollover IRA *4915,Feb-25-2025,Cash
Feb-24-2025,YOU BOUGHT,NFLX,10,"1,004.79","-10,047.90","+22,717.51",--,--,2_DC Rollover IRA *4915,Feb-25-2025,Cash
Feb-24-2025,YOU SOLD,NFLX,-20,990.58,"19,811.01","+32,765.41",--,0.56,2_DC Rollover IRA *4915,Feb-25-2025,Cash
Feb-24-2025,YOU SOLD,IWM,-40,215.75,"8,629.76","+12,954.40",--,0.24,2_DC Rollover IRA *4915,Feb-25-2025,Cash
Feb-18-2025,YOU BOUGHT,NFLX,25,"1,037.40","-25,934.98","+4,324.64",--,--,2_DC Rollover IRA *4915,Feb-19-2025,Cash
Feb-18-2025,YOU SOLD,NFLX,-29,"1,027.60","29,799.57","+30,259.62",--,0.83,2_DC Rollover IRA *4915,Feb-19-2025,Cash
Feb-14-2025,DIVIDEND RECEIVED,MS,--,--,27.75,+460.05,--,--,2_DC Rollover IRA *4915,--,Cash
Feb-13-2025,YOU BOUGHT,NFLX,4,"1,035.87","-4,143.48",+432.30,--,--,2_DC Rollover IRA *4915,Feb-14-2025,Cash
Feb-7-2025,REINVESTMENT REINVEST @ $10.730,FFFAX,1.703,10.73,-18.27,"+4,575.78",--,--,2_DC Rollover IRA *4915,--,Cash
Feb-7-2025,DIVIDEND RECEIVED,FFFAX,--,--,18.27,"+4,594.05",--,--,2_DC Rollover IRA *4915,--,Cash
Feb-5-2025,YOU SOLD,SPY,-30,603.88,"18,115.98","+4,575.78",--,0.51,2_DC Rollover IRA *4915,Feb-6-2025,Cash
Feb-5-2025,YOU BOUGHT,NFLX,10,"1,007.51","-10,075.05","-13,540.20",--,--,2_DC Rollover IRA *4915,Feb-6-2025,Cash
Feb-5-2025,YOU BOUGHT,GS,6,645.65,"-3,873.93","-3,465.15",--,--,2_DC Rollover IRA *4915,Feb-6-2025,Cash
Feb-4-2025,YOU SOLD,TSLA,-6,383.65,"2,301.86",+408.78,--,0.07,2_DC Rollover IRA *4915,Feb-5-2025,Cash
Feb-4-2025,YOU BOUGHT,NFLX,3,991.92,"-2,975.78","-1,893.08",--,--,2_DC Rollover IRA *4915,Feb-5-2025,Cash
Jan-31-2025,DIVIDEND RECEIVED,SPY,--,--,96.31,"+1,082.70",--,--,2_DC Rollover IRA *4915,--,Cash
Jan-31-2025,REINVESTMENT REINVEST @ $1.000,FDRXX,32.1,1.00,-32.10,+986.39,--,--,2_DC Rollover IRA *4915,--,Cash
Jan-31-2025,DIVIDEND RECEIVED,FDRXX,--,--,32.10,+986.39,--,--,2_DC Rollover IRA *4915,--,Cash
Jan-28-2025,YOU BOUGHT,NFLX,12,963.20,"-11,558.40",+954.29,--,--,2_DC Rollover IRA *4915,Jan-29-2025,Cash
